area_type,location,area,bathrooms,balcony,price,bedrooms,price_per_sqft,total_rooms,is_luxury
Super built-up  Area,Electronic City Phase II,1056.0,2.0,1.0,39.07,2.0,0.03699810606060606,4.0,0
Plot  Area,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4.0,0.046153846153846156,9.0,1
Built-up  Area,Uttarahalli,1440.0,2.0,3.0,62.0,3.0,0.043055555555555555,5.0,0
Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3.0,0.062458908612754764,6.0,1
Super built-up  Area,Kothanur,1200.0,2.0,1.0,51.0,2.0,0.0425,4.0,0
Super built-up  Area,Whitefield,1170.0,2.0,1.0,38.0,2.0,0.03247863247863248,4.0,0
Super built-up  Area,Old Airport Road,2732.0,4.0,1.0,204.0,4.0,0.0746705710102489,8.0,1
Super built-up  Area,Marathahalli,1310.0,3.0,1.0,63.25,3.0,0.048282442748091604,6.0,0
Super built-up  Area,Whitefield,1800.0,2.0,2.0,70.0,3.0,0.03888888888888889,5.0,1
Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2.0,0.038,4.0,0
Built-up  Area,Gottigere,1100.0,2.0,2.0,40.0,2.0,0.03636363636363636,4.0,0
Plot  Area,Sarjapur,2250.0,3.0,2.0,148.0,3.0,0.06577777777777778,6.0,1
Super built-up  Area,Mysore Road,1175.0,2.0,2.0,73.5,2.0,0.0625531914893617,4.0,1
Super built-up  Area,Bisuvanahalli,1180.0,3.0,2.0,48.0,3.0,0.04067796610169491,6.0,0
Super built-up  Area,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3.0,0.03896103896103896,6.0,0
Super built-up  Area,Manayata Tech Park,1100.0,2.0,2.0,48.0,2.0,0.04363636363636364,4.0,0
Built-up  Area,Kengeri,600.0,1.0,1.0,15.0,1.0,0.025,2.0,0
Super built-up  Area,Binny Pete,1755.0,3.0,1.0,122.0,3.0,0.06951566951566951,6.0,1
Super built-up  Area,Bellandur,1767.0,3.0,1.0,103.0,3.0,0.058290888511601587,6.0,1
Super built-up  Area, Thanisandra,510.0,1.0,0.0,25.25,1.0,0.049509803921568625,2.0,0
Super built-up  Area,Mangammanapalya,1250.0,3.0,2.0,56.0,3.0,0.0448,6.0,0
Super built-up  Area,Electronic City,660.0,1.0,1.0,23.1,2.0,0.035,3.0,0
Built-up  Area,Whitefield,1610.0,3.0,2.0,81.0,3.0,0.05031055900621118,6.0,1
Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,48.77,2.0,0.04237185056472633,4.0,0
Super built-up  Area,Electronic City,1025.0,2.0,1.0,47.0,3.0,0.045853658536585365,5.0,0
Super built-up  Area,Yelahanka,2475.0,4.0,0.0,186.0,4.0,0.07515151515151515,8.0,1
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,35.0,3.0,0.03255813953488372,5.0,0
Super built-up  Area,Hebbal,1760.0,2.0,2.0,123.0,3.0,0.06988636363636364,5.0,1
Super built-up  Area,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3.0,0.0338984051978736,6.0,0
Built-up  Area,Kasturi Nagar,1925.0,3.0,3.0,125.0,3.0,0.06493506493506493,6.0,1
Super built-up  Area,Kanakpura Road,700.0,2.0,1.0,36.0,2.0,0.05142857142857143,4.0,0
Super built-up  Area,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2.0,0.04252336448598131,4.0,0
Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,125.0,3.0,0.07250580046403712,6.0,1
Super built-up  Area,Chikkalasandra,1290.0,2.0,2.0,56.12,3.0,0.043503875968992245,5.0,0
Built-up  Area,Uttarahalli,1143.0,2.0,2.0,45.0,2.0,0.03937007874015748,4.0,0
Built-up  Area,Murugeshpalya,1296.0,2.0,2.0,81.0,2.0,0.0625,4.0,1
Super built-up  Area,Sarjapur  Road,1254.0,3.0,2.0,38.0,3.0,0.030303030303030304,6.0,0
Super built-up  Area,Ganga Nagar,600.0,1.0,0.0,38.0,1.0,0.06333333333333334,2.0,0
Plot  Area,Yelahanka,660.0,1.0,0.0,48.0,1.0,0.07272727272727272,2.0,0
Super built-up  Area,Kanakpura Road,1330.74,2.0,2.0,91.79,2.0,0.0689766596029277,4.0,1
Plot  Area,HSR Layout,600.0,9.0,2.0,200.0,8.0,0.3333333333333333,17.0,1
Super built-up  Area,Doddathoguru,970.0,2.0,0.0,33.0,2.0,0.03402061855670103,4.0,0
Super built-up  Area,Whitefield,1459.0,2.0,1.0,94.82,2.0,0.06498971898560657,4.0,1
Plot  Area,KR Puram,800.0,1.0,1.0,130.0,2.0,0.1625,3.0,1
Built-up  Area,Himagiri Meadows,869.0,2.0,1.0,36.0,2.0,0.04142692750287687,4.0,0
Super built-up  Area,Adarsh Nagar,1270.0,2.0,1.0,50.0,2.0,0.03937007874015748,4.0,0
Super built-up  Area,Bhoganhalli,1670.0,3.0,1.0,99.0,3.0,0.0592814371257485,6.0,1
Built-up  Area,Whitefield,2010.0,3.0,2.0,91.0,3.0,0.04527363184079602,6.0,1
Super built-up  Area,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2.0,0.06329113924050633,4.0,1
Super built-up  Area,Yelahanka,1600.0,2.0,3.0,75.0,3.0,0.046875,5.0,1
Super built-up  Area,Begur Road,1200.0,2.0,2.0,44.0,2.0,0.03666666666666667,4.0,0
Built-up  Area,Devanahalli,3210.0,2.0,2.0,192.0,4.0,0.059813084112149535,6.0,1
Super built-up  Area,Ramakrishnappa Layout,1500.0,2.0,2.0,185.0,2.0,0.12333333333333334,4.0,1
Plot  Area,Murugeshpalya,1407.0,4.0,1.0,150.0,6.0,0.10660980810234541,10.0,1
Super built-up  Area,Govindaraja Nagar Ward,840.0,2.0,2.0,45.0,2.0,0.05357142857142857,4.0,0
Super built-up  Area,Ganga Nagar,845.0,2.0,1.0,55.0,2.0,0.0650887573964497,4.0,0
Built-up  Area,Varthur,1160.0,2.0,2.0,44.0,2.0,0.03793103448275862,4.0,0
Built-up  Area,Bommanahalli,3000.0,8.0,0.0,140.0,8.0,0.04666666666666667,16.0,1
Super built-up  Area,Doddathoguru,1100.0,2.0,1.0,62.0,2.0,0.056363636363636366,4.0,0
Super built-up  Area,Gunjur,1140.0,2.0,3.0,43.0,2.0,0.037719298245614034,4.0,0
Super built-up  Area,Marathahalli,1220.0,2.0,1.0,57.0,2.0,0.04672131147540984,4.0,0
Plot  Area,Devarachikkanahalli,1350.0,7.0,0.0,85.0,8.0,0.06296296296296296,15.0,1
Super built-up  Area,Kanakpura Road,1005.0,2.0,1.0,36.68,2.0,0.03649751243781094,4.0,0
Plot  Area,Double Road,500.0,3.0,2.0,100.0,3.0,0.2,6.0,1
Super built-up  Area,Begur Road,1358.0,2.0,1.0,80.58,2.0,0.05933726067746686,4.0,1
Super built-up  Area,Hegde Nagar,1569.0,3.0,1.0,101.0,3.0,0.06437221159974506,6.0,1
Super built-up  Area,Haralur Road,1240.0,2.0,1.0,70.0,2.0,0.056451612903225805,4.0,1
